Simulation Results:
Method: GPU
Path check-points: 1
Rays per check-point: 1000
Total Hits: 181
Total Rays: 1000
Hit Ratio: 18.1 %%
Total polygons: 902
Time [seconds]: 0.002
Time [millisec]: 2
Time [microsec]: 2208

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.327,-0.666,-0.110) - 0.495
(0.295,-0.666,-0.082) - 0.499
(0.323,-0.666,-0.148) - 0.501
(0.281,-0.666,-0.118) - 0.506
(0.333,-0.666,-0.186) - 0.508
(0.253,-0.666,-0.071) - 0.510
(0.366,-0.651,-0.161) - 0.513
(0.281,-0.666,-0.159) - 0.513
(0.357,-0.666,-0.220) - 0.515
(0.240,-0.666,-0.112) - 0.517
(0.295,-0.666,-0.201) - 0.520
(0.218,-0.666,-0.050) - 0.521
(0.241,-0.665,-0.158) - 0.525
(0.347,-0.629,-0.078) - 0.526
(0.321,-0.666,-0.240) - 0.528
(0.203,-0.666,-0.095) - 0.529
(0.361,-0.625,-0.124) - 0.532
(0.254,-0.665,-0.206) - 0.533
(0.360,-0.666,-0.273) - 0.535
(0.201,-0.665,-0.147) - 0.537
(0.281,-0.665,-0.251) - 0.540
(0.212,-0.665,-0.201) - 0.546
(0.321,-0.666,-0.291) - 0.548
(0.163,-0.666,-0.126) - 0.549
(0.237,-0.665,-0.253) - 0.554
(0.372,-0.666,-0.321) - 0.555
(0.169,-0.665,-0.186) - 0.558
(0.276,-0.665,-0.301) - 0.562
(0.191,-0.665,-0.246) - 0.568
(0.328,-0.666,-0.340) - 0.570
(0.129,-0.666,-0.162) - 0.571
(0.228,-0.664,-0.302) - 0.577
(0.145,-0.665,-0.229) - 0.581
(0.280,-0.665,-0.351) - 0.585
(0.178,-0.664,-0.295) - 0.592
(0.344,-0.666,-0.387) - 0.593
(0.227,-0.664,-0.354) - 0.601
(0.127,-0.665,-0.278) - 0.606
(0.291,-0.665,-0.401) - 0.610
(0.171,-0.664,-0.347) - 0.618
(0.225,-0.640,0.259) - 0.626
(0.233,-0.664,-0.406) - 0.627
(0.115,-0.665,-0.330) - 0.634
(0.310,-0.666,-0.451) - 0.636
(0.216,-0.665,0.315) - 0.639
(0.235,-0.592,0.211) - 0.641
(0.262,-0.605,0.253) - 0.642
(0.257,-0.640,0.307) - 0.643
(0.191,-0.612,0.224) - 0.644
(0.172,-0.663,-0.402) - 0.646
(0.176,-0.645,0.276) - 0.647
(0.247,-0.665,-0.460) - 0.655
(0.257,-0.665,0.363) - 0.657
(0.213,-0.564,0.172) - 0.658
(0.165,-0.582,0.184) - 0.663
(0.138,-0.615,0.238) - 0.668
(0.162,-0.665,0.335) - 0.669
(0.258,-0.527,0.153) - 0.673
(0.121,-0.647,0.289) - 0.674
(0.179,-0.664,-0.460) - 0.676
(0.271,-0.539,0.201) - 0.676
(0.200,-0.529,0.131) - 0.681
(0.148,-0.551,0.140) - 0.682
(0.268,-0.666,-0.515) - 0.686
(0.204,-0.665,0.390) - 0.689
(0.107,-0.582,0.195) - 0.690
(0.078,-0.613,0.247) - 0.699
(0.253,-0.488,0.110) - 0.700
(0.103,-0.665,0.350) - 0.701
(0.141,-0.518,0.094) - 0.703
(0.194,-0.665,-0.519) - 0.708
(0.198,-0.488,0.088) - 0.710
(0.256,-0.665,0.442) - 0.710
(0.058,-0.644,0.299) - 0.710
(0.144,-0.665,0.413) - 0.723
(0.117,-0.664,-0.512) - 0.731
(-0.083,-0.659,-0.281) - 0.734
(0.075,-0.530,0.153) - 0.735
(0.142,-0.473,0.050) - 0.736
(0.264,-0.437,0.063) - 0.737
(0.217,-0.666,-0.581) - 0.743
(0.197,-0.665,0.474) - 0.747
(0.210,-0.437,0.045) - 0.747
(-0.133,-0.664,-0.221) - 0.750
(-0.123,-0.638,-0.170) - 0.750
(-0.102,-0.664,-0.344) - 0.766
(-0.099,-0.611,-0.240) - 0.766
(0.133,-0.666,-0.579) - 0.768
(0.058,-0.484,0.103) - 0.770
(0.021,-0.543,0.214) - 0.770
(0.091,-0.452,-0.005) - 0.770
(0.069,-0.468,0.046) - 0.770
(0.157,-0.424,0.007) - 0.772
(-0.183,-0.664,-0.152) - 0.775
(0.287,-0.627,-0.614) - 0.779
(0.247,-0.667,-0.646) - 0.784
(-0.077,-0.644,0.294) - 0.784
(-0.065,-0.596,0.251) - 0.791
(-0.168,-0.663,-0.286) - 0.793
(0.244,-0.376,0.002) - 0.794
(-0.182,-0.625,-0.102) - 0.795
(0.056,-0.438,-0.077) - 0.796
(-0.225,-0.664,-0.073) - 0.801
(0.006,-0.457,-0.115) - 0.806
(0.020,-0.446,-0.028) - 0.806
(-0.096,-0.568,0.182) - 0.807
(-0.049,-0.541,0.208) - 0.807
(-0.123,-0.663,-0.418) - 0.811
(0.156,-0.667,-0.650) - 0.811
(-0.005,-0.458,0.031) - 0.812
(-0.045,-0.598,0.332) - 0.813
(-0.126,-0.608,0.229) - 0.813
(0.191,-0.367,-0.031) - 0.814
(-0.016,-0.490,0.162) - 0.815
(-0.228,-0.664,-0.215) - 0.820
(0.382,-0.388,-0.361) - 0.823
(-0.070,-0.511,0.141) - 0.823
(-0.022,-0.465,0.096) - 0.824
(-0.151,-0.645,0.281) - 0.826
(-0.112,-0.663,0.361) - 0.826
(-0.123,-0.531,0.112) - 0.834
(-0.078,-0.483,0.071) - 0.837
(-0.198,-0.663,-0.359) - 0.839
(-0.071,-0.623,0.398) - 0.844
(-0.167,-0.568,0.159) - 0.848
(-0.073,-0.456,0.003) - 0.849
(-0.280,-0.664,-0.132) - 0.849
(-0.051,-0.435,-0.062) - 0.852
(-0.136,-0.664,-0.497) - 0.857
(0.254,-0.305,-0.058) - 0.860
(-0.204,-0.605,0.208) - 0.862
(-0.061,-0.437,-0.166) - 0.864
(-0.269,-0.664,-0.287) - 0.870
(-0.111,-0.579,-0.450) - 0.871
(-0.121,-0.547,-0.392) - 0.874
(-0.063,-0.499,-0.390) - 0.874
(-0.196,-0.663,0.350) - 0.877
(-0.059,-0.526,-0.450) - 0.878
(-0.233,-0.644,0.260) - 0.878
(-0.061,-0.466,-0.333) - 0.878
(0.368,-0.306,-0.294) - 0.879
(0.279,-0.306,0.160) - 0.880
(-0.101,-0.601,-0.514) - 0.882
(-0.129,-0.507,-0.338) - 0.888
(-0.053,-0.428,-0.279) - 0.888
(-0.224,-0.664,-0.441) - 0.890
(-0.158,-0.468,0.042) - 0.894
(-0.083,-0.625,-0.578) - 0.894
(-0.053,-0.545,-0.517) - 0.894
(-0.129,-0.466,-0.282) - 0.902
(-0.334,-0.664,-0.202) - 0.903
(-0.000,-0.489,-0.508) - 0.903
(0.282,-0.303,0.233) - 0.903
(-0.143,-0.665,-0.586) - 0.911
(-0.168,-0.663,0.455) - 0.911
(-0.116,-0.428,-0.227) - 0.912
(-0.129,-0.412,-0.108) - 0.916
(0.295,-0.250,0.089) - 0.918
(0.288,-0.236,0.020) - 0.925
(-0.309,-0.664,-0.369) - 0.925
(0.423,-0.264,-0.352) - 0.935
(-0.241,-0.480,0.091) - 0.946
(-0.245,-0.665,-0.533) - 0.948
(-0.001,-0.487,-0.592) - 0.950
(0.328,-0.198,-0.037) - 0.956
(0.336,-0.220,0.160) - 0.956
(-0.069,-0.525,-0.619) - 0.971
(-0.266,-0.663,0.448) - 0.973
(-0.145,-0.665,-0.684) - 0.973
(-0.229,-0.425,-0.229) - 0.984
(-0.105,-0.596,-0.703) - 0.999
(0.403,-0.164,-0.246) - 1.005
(-0.219,-0.353,-0.033) - 1.017
(0.233,-0.233,0.402) - 1.039
(0.291,-0.193,0.347) - 1.044
(0.457,-0.134,-0.311) - 1.050
(0.382,-0.105,-0.163) - 1.052
(-0.278,-0.299,-0.182) - 1.103
(0.195,-0.149,0.591) - 1.209
(0.257,-0.055,0.573) - 1.270
(0.183,-0.121,0.761) - 1.331
