Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 1486
Total Rays: 8000
Hit Ratio: 18.5 %%
Total polygons: 902
Time [seconds]: 0.218
Time [millisec]: 217
Time [microsec]: 217501

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.322,0.140,-0.469) - 0.286
(0.334,0.134,-0.437) - 0.288
(0.328,0.132,-0.087) - 0.288
(0.302,0.137,-0.520) - 0.289
(0.341,0.148,-0.093) - 0.289
(0.311,0.147,-0.501) - 0.290
(0.307,0.132,-0.486) - 0.290
(0.332,0.153,-0.451) - 0.292
(0.318,0.144,-0.069) - 0.293
(0.321,0.159,-0.482) - 0.293
(0.332,0.160,-0.075) - 0.293
(0.346,0.141,-0.116) - 0.295
(0.347,0.131,-0.404) - 0.295
(0.344,0.148,-0.419) - 0.296
(0.332,0.172,-0.465) - 0.298
(0.301,0.158,-0.533) - 0.298
(0.285,0.132,-0.539) - 0.298
(0.311,0.169,-0.514) - 0.299
(0.343,0.166,-0.434) - 0.299
(0.291,0.149,-0.553) - 0.300
(0.297,0.131,-0.064) - 0.301
(0.349,0.171,-0.104) - 0.302
(0.320,0.181,-0.495) - 0.303
(-0.349,0.138,-0.389) - 0.304
(0.351,0.135,-0.142) - 0.304
(0.281,0.141,-0.575) - 0.304
(0.306,0.132,-0.447) - 0.305
(0.358,0.147,-0.384) - 0.306
(0.356,0.164,-0.401) - 0.306
(0.354,0.164,-0.127) - 0.308
(0.274,0.132,-0.598) - 0.308
(-0.342,0.150,-0.411) - 0.308
(-0.364,0.146,-0.357) - 0.308
(-0.329,0.133,-0.421) - 0.309
(0.360,0.131,-0.366) - 0.309
(-0.358,0.157,-0.378) - 0.310
(0.339,0.190,-0.446) - 0.311
(-0.327,0.145,-0.444) - 0.311
(0.299,0.182,-0.546) - 0.311
(0.319,0.132,-0.120) - 0.311
(0.290,0.172,-0.566) - 0.312
(0.352,0.185,-0.414) - 0.314
(-0.352,0.170,-0.400) - 0.314
(0.326,0.198,-0.476) - 0.314
(0.275,0.132,-0.499) - 0.314
(-0.337,0.164,-0.432) - 0.315
(0.281,0.163,-0.588) - 0.316
(0.307,0.195,-0.526) - 0.316
(-0.367,0.139,-0.331) - 0.316
(-0.374,0.168,-0.346) - 0.317
(0.360,0.158,-0.153) - 0.317
(0.371,0.164,-0.365) - 0.318
(-0.342,0.133,-0.360) - 0.318
(-0.312,0.142,-0.480) - 0.319
(0.274,0.154,-0.612) - 0.319
(0.310,0.132,-0.405) - 0.321
(0.355,0.131,-0.172) - 0.321
(-0.321,0.160,-0.467) - 0.321
(0.374,0.147,-0.347) - 0.321
(0.316,0.210,-0.507) - 0.322
(-0.365,0.181,-0.367) - 0.322
(0.365,0.184,-0.380) - 0.324
(0.255,0.132,-0.560) - 0.324
(-0.344,0.187,-0.420) - 0.324
(-0.304,0.133,-0.455) - 0.324
(0.289,0.171,-0.058) - 0.325
(0.268,0.146,-0.637) - 0.325
(0.292,0.197,-0.579) - 0.325
(-0.330,0.181,-0.454) - 0.326
(0.283,0.132,-0.098) - 0.328
(0.283,0.188,-0.602) - 0.329
(0.333,0.219,-0.457) - 0.329
(0.345,0.212,-0.426) - 0.329
(-0.374,0.163,-0.318) - 0.330
(0.367,0.154,-0.182) - 0.331
(0.269,0.156,-0.051) - 0.331
(0.269,0.132,-0.456) - 0.332
(-0.366,0.135,-0.299) - 0.332
