Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 2474
Total Rays: 8000
Hit Ratio: 30.9 %%
Total polygons: 20684
Time [seconds]: 4.178
Time [millisec]: 4178
Time [microsec]: 4178315

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(15.829,0.008,-7.776) - 0.369
(15.839,0.020,-7.805) - 0.370
(15.823,0.028,-7.758) - 0.370
(15.832,0.041,-7.787) - 0.371
(15.813,0.016,-7.729) - 0.373
(15.826,0.062,-7.769) - 0.374
(15.849,0.033,-7.834) - 0.374
(15.842,0.054,-7.816) - 0.374
(15.816,0.049,-7.740) - 0.374
(15.855,0.013,-7.852) - 0.376
(15.836,0.075,-7.798) - 0.376
(15.806,0.037,-7.710) - 0.378
(8.013,0.014,-4.365) - 0.379
(15.802,0.003,-7.699) - 0.379
(8.023,0.002,-4.395) - 0.379
(15.820,0.083,-7.751) - 0.379
(8.019,0.035,-4.384) - 0.380
(15.852,0.068,-7.845) - 0.380
(15.810,0.071,-7.722) - 0.381
(15.830,0.097,-7.780) - 0.381
(15.859,0.047,-7.864) - 0.381
(8.003,0.027,-4.336) - 0.381
(8.029,0.023,-4.414) - 0.381
(8.009,0.049,-4.354) - 0.382
(15.846,0.089,-7.827) - 0.382
(7.997,0.007,-4.317) - 0.383
(8.026,0.057,-4.402) - 0.384
(15.865,0.026,-7.883) - 0.384
(8.015,0.070,-4.372) - 0.385
(15.796,0.024,-7.680) - 0.385
(15.800,0.059,-7.691) - 0.385
(8.040,0.010,-4.444) - 0.386
(15.840,0.111,-7.809) - 0.386
(8.036,0.044,-4.432) - 0.386
(7.999,0.062,-4.324) - 0.387
(15.814,0.106,-7.733) - 0.387
(7.993,0.041,-4.305) - 0.387
(15.824,0.120,-7.762) - 0.388
(8.005,0.084,-4.343) - 0.389
(15.804,0.094,-7.703) - 0.389
(8.032,0.079,-4.421) - 0.390
(15.872,0.005,-7.902) - 0.390
(7.986,0.020,-4.286) - 0.390
(8.022,0.092,-4.391) - 0.390
(15.863,0.083,-7.875) - 0.390
(15.856,0.104,-7.856) - 0.391
(8.046,0.031,-4.463) - 0.391
(15.869,0.062,-7.895) - 0.392
(15.834,0.135,-7.791) - 0.392
(8.042,0.066,-4.451) - 0.393
(15.789,0.046,-7.660) - 0.393
(8.012,0.107,-4.361) - 0.393
(15.850,0.127,-7.838) - 0.394
(15.793,0.082,-7.672) - 0.395
(15.785,0.011,-7.647) - 0.395
(7.989,0.077,-4.294) - 0.395
(7.995,0.099,-4.313) - 0.396
(15.876,0.040,-7.915) - 0.396
(7.982,0.055,-4.274) - 0.396
(15.808,0.131,-7.715) - 0.397
(15.818,0.145,-7.744) - 0.398
(8.038,0.103,-4.439) - 0.398
(8.053,0.054,-4.483) - 0.399
(7.975,0.034,-4.254) - 0.400
(8.057,0.018,-4.495) - 0.400
(15.844,0.151,-7.820) - 0.400
(15.797,0.119,-7.684) - 0.401
(15.828,0.160,-7.773) - 0.402
(8.049,0.090,-4.471) - 0.402
(15.883,0.019,-7.935) - 0.403
(15.867,0.121,-7.887) - 0.404
(15.874,0.099,-7.907) - 0.404
(15.782,0.070,-7.640) - 0.404
(15.778,0.034,-7.627) - 0.405
(15.860,0.145,-7.868) - 0.406
(7.968,0.012,-4.233) - 0.406
(15.881,0.078,-7.927) - 0.407
(7.978,0.093,-4.262) - 0.407
(15.787,0.107,-7.652) - 0.407
(15.838,0.177,-7.802) - 0.409
(7.971,0.071,-4.242) - 0.409
(8.064,0.041,-4.516) - 0.409
(8.060,0.078,-4.503) - 0.410
(15.812,0.172,-7.726) - 0.411
(15.801,0.158,-7.696) - 0.411
(15.854,0.169,-7.849) - 0.412
(15.888,0.056,-7.949) - 0.412
(8.069,0.005,-4.529) - 0.413
(7.964,0.049,-4.220) - 0.414
(15.822,0.188,-7.755) - 0.414
(15.791,0.146,-7.665) - 0.415
(15.770,0.058,-7.605) - 0.417
(15.775,0.095,-7.618) - 0.418
(15.878,0.141,-7.919) - 0.420
(15.848,0.196,-7.831) - 0.421
(15.896,0.034,-7.971) - 0.421
(15.765,0.021,-7.591) - 0.421
(8.072,0.066,-4.538) - 0.421
(15.885,0.118,-7.941) - 0.422
(15.832,0.205,-7.784) - 0.422
(7.956,0.027,-4.198) - 0.422
(15.871,0.165,-7.899) - 0.422
(15.779,0.134,-7.632) - 0.423
(8.067,0.104,-4.524) - 0.424
(8.076,0.028,-4.552) - 0.424
(15.893,0.096,-7.963) - 0.426
(7.959,0.089,-4.207) - 0.426
(15.864,0.190,-7.880) - 0.427
(15.805,0.203,-7.708) - 0.428
(15.795,0.189,-7.677) - 0.429
(15.816,0.219,-7.737) - 0.431
(15.904,0.011,-7.995) - 0.432
(7.948,0.004,-4.175) - 0.432
(7.951,0.066,-4.184) - 0.433
(15.901,0.074,-7.986) - 0.433
(15.762,0.084,-7.582) - 0.433
(15.841,0.226,-7.813) - 0.433
(15.784,0.176,-7.644) - 0.433
(15.767,0.123,-7.596) - 0.435
(15.757,0.046,-7.567) - 0.435
(15.858,0.218,-7.861) - 0.436
(8.079,0.092,-4.560) - 0.437
(8.084,0.053,-4.575) - 0.438
(15.826,0.238,-7.766) - 0.439
(15.752,0.007,-7.551) - 0.442
(15.890,0.163,-7.954) - 0.442
(7.943,0.043,-4.160) - 0.442
(15.772,0.165,-7.610) - 0.443
(8.089,0.015,-4.590) - 0.443
(15.882,0.188,-7.932) - 0.443
(15.909,0.051,-8.010) - 0.443
(15.897,0.140,-7.977) - 0.445
(15.875,0.215,-7.912) - 0.448
(15.799,0.238,-7.689) - 0.449
(15.852,0.249,-7.842) - 0.449
(15.906,0.117,-8.001) - 0.450
(15.788,0.223,-7.657) - 0.450
(15.835,0.260,-7.795) - 0.451
(15.754,0.113,-7.557) - 0.453
(15.809,0.255,-7.719) - 0.453
(15.749,0.073,-7.541) - 0.453
(8.093,0.081,-4.600) - 0.455
(7.935,0.020,-4.134) - 0.455
(15.777,0.210,-7.624) - 0.456
(15.759,0.154,-7.573) - 0.457
(15.868,0.244,-7.892) - 0.457
(7.938,0.085,-4.144) - 0.457
(15.918,0.027,-8.037) - 0.457
(8.098,0.040,-4.616) - 0.459
(15.743,0.033,-7.525) - 0.459
(15.914,0.094,-8.027) - 0.460
(15.819,0.275,-7.748) - 0.461
(15.764,0.199,-7.587) - 0.467
(15.845,0.286,-7.824) - 0.468
(7.929,0.062,-4.118) - 0.469
(15.902,0.189,-7.991) - 0.470
(15.894,0.215,-7.968) - 0.470
(15.862,0.277,-7.873) - 0.471
(15.924,0.070,-8.054) - 0.473
(15.911,0.165,-8.016) - 0.474
