Simulation Results:
Method: GPU
Path check-points: 20
Rays per check-point: 100
Total Hits: 383
Total Rays: 2000
Hit Ratio: 19.1 %%
Total polygons: 20684
Time [seconds]: 0.046
Time [millisec]: 45
Time [microsec]: 45853

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(15.825,0.071,-7.764) - 0.376
(8.027,0.008,-4.407) - 0.380
(15.798,0.023,-7.686) - 0.383
(8.001,0.058,-4.330) - 0.385
(15.867,0.043,-7.889) - 0.388
(15.851,0.126,-7.840) - 0.394
(8.044,0.092,-4.457) - 0.399
(15.808,0.164,-7.716) - 0.409
(15.780,0.112,-7.634) - 0.416
(8.074,0.042,-4.544) - 0.421
(7.954,0.030,-4.191) - 0.426
(15.834,0.230,-7.793) - 0.435
(15.898,0.105,-7.979) - 0.436
(15.879,0.200,-7.921) - 0.444
(15.746,0.064,-7.534) - 0.457
(15.921,0.014,-8.046) - 0.462
(13.465,0.010,-4.079) - 0.488
(15.760,0.235,-7.575) - 0.489
(15.791,0.299,-7.666) - 0.490
(13.431,0.074,-3.979) - 0.495
(7.916,0.100,-4.079) - 0.500
(15.861,0.334,-7.870) - 0.506
(13.487,0.118,-4.142) - 0.512
(13.452,0.188,-4.041) - 0.521
(15.938,0.197,-8.094) - 0.532
(13.395,0.150,-3.874) - 0.537
(15.719,0.189,-7.455) - 0.539
(13.525,0.054,-4.254) - 0.541
(15.912,0.317,-8.019) - 0.547
(13.370,0.038,-3.801) - 0.548
(15.699,0.005,-7.397) - 0.549
(8.140,0.099,-4.739) - 0.550
(15.818,0.408,-7.746) - 0.551
(14.425,0.107,-3.672) - 0.565
(13.418,0.279,-3.940) - 0.570
(15.971,0.092,-8.190) - 0.575
(14.385,0.035,-3.555) - 0.576
(13.510,0.254,-4.210) - 0.578
(14.490,0.064,-3.860) - 0.583
(14.464,0.190,-3.786) - 0.593
(13.473,0.341,-4.103) - 0.598
(13.553,0.189,-4.335) - 0.610
(14.401,0.246,-3.601) - 0.615
(20.685,0.215,-6.228) - 0.615
(14.358,0.169,-3.476) - 0.625
(13.352,0.257,-3.750) - 0.628
(20.783,0.089,-6.224) - 0.638
(13.320,0.129,-3.657) - 0.643
(19.544,0.122,-2.911) - 0.644
(15.736,0.448,-7.506) - 0.649
(14.440,0.347,-3.715) - 0.654
(14.536,0.157,-3.996) - 0.656
(19.498,0.039,-2.778) - 0.656
(19.617,0.073,-3.126) - 0.665
(15.657,0.147,-7.274) - 0.667
(14.507,0.301,-3.909) - 0.669
(5.638,0.040,-5.540) - 0.671
(15.890,0.531,-7.956) - 0.672
(19.588,0.216,-3.041) - 0.676
(5.758,0.075,-5.896) - 0.679
